Car Model,link
Kaiyi X3 Pro 2022,https://eg.hatla2ee.com/en/new-car/Kaiyi/KAIYI-X3-PRO
Kaiyi X3 2023,https://eg.hatla2ee.com/en/new-car/Kaiyi/kAIYI-X3
Kaiyi X3 Pro 2023,https://eg.hatla2ee.com/en/new-car/Kaiyi/KAIYI-X3-PRO
Lexus ES 350 2020,https://eg.hatla2ee.com/en/new-car/lexus/ES-350
Lexus Rx 2020,https://eg.hatla2ee.com/en/new-car/lexus/rx
Lexus LS 500 2020,https://eg.hatla2ee.com/en/new-car/lexus/LS-500
Lexus LX 570 2020,https://eg.hatla2ee.com/en/new-car/lexus/LX-570
Aston Martin Vantage Roadster 2020,https://eg.hatla2ee.com/en/new-car/aston-martin/vantage-roadster
Baic X3 2022,https://eg.hatla2ee.com/en/new-car/baic/Baic-X3
Baic X3 2023,https://eg.hatla2ee.com/en/new-car/baic/Baic-X3
Baic X5 2022,https://eg.hatla2ee.com/en/new-car/baic/Baic-X5
Baic X7 2022,https://eg.hatla2ee.com/en/new-car/baic/BEIJING-X7
 Baic X7 2023,https://eg.hatla2ee.com/en/new-car/baic/BEIJING-X7
Haval Jolion 2022,https://eg.hatla2ee.com/en/new-car/haval/Jolion
Haval H6 2022,https://eg.hatla2ee.com/en/new-car/haval/haval-h6
Soueast DX3 2022,https://eg.hatla2ee.com/en/new-car/soueast/DX3
Soueast DX5 2022,https://eg.hatla2ee.com/en/new-car/soueast/DX5
Soueast DX7 2022,https://eg.hatla2ee.com/en/new-car/soueast/DX7
Soueast Dx7 prime 2023,https://eg.hatla2ee.com/en/new-car/soueast/Dx7-prime
Soueast DX7 NOVA 2022,https://eg.hatla2ee.com/en/new-car/soueast/DX7-NOVA
Maserati Ghibli 2021,https://eg.hatla2ee.com/en/new-car/maserati/ghibli
Maserati Ghibli 2019,https://eg.hatla2ee.com/en/new-car/maserati/ghibli
Maserati Levante 2019,https://eg.hatla2ee.com/en/new-car/maserati/Levante
Maserati Quattroporte 2019,https://eg.hatla2ee.com/en/new-car/maserati/quattroporte
