Car Model,warranty,Engine capacity,Horse Power,Maximum Speed,Acceleration,Speeds,Transmission Type,Year,Fuel,liter/100KM,Origin Country,Assembly Country,Length (mm),Width (mm),Height (mm),Ground Clearance,Wheel Base,Trunk Size,Seats,Traction Type,Number of cylinder,Fuel tank capacity,Torque of newton,Insurance Price,Register Price
Geely Cool Ray 2022 A/T / Premium,"150000 Km /
5 Year(s)",1500 CC - Turbo,175,,7.9,7 Speeds,DSG,Year 2022,95,6.6,China,China,4330,1800,1609,180,2600,330,5,Front Traction,3,45,255,"13,375 EGP","5,350 EGP"
Geely Cool Ray 2022 A/T / Premium / black,"150000 Km /
5 Year(s)",1500 CC - Turbo,175,,7.9,7 Speeds,DSG,Year 2022,95,6.6,China,China,4330,1800,1609,180,2600,330,5,Front Traction,3,45,255,"13,625 EGP","5,450 EGP"
Geely Okavango 2022 A/T / Comfort,"150000 Km /
5 Year(s)",1500 CC - Turbo,190,,11,7 Speeds,DSG,Year 2022,95,6.6,China,China,4835,1900,1780,,2815,257,7,Front Traction,3,60,300,"13,500 EGP","5,400 EGP"
Geely Okavango 2022 A/T / Premium,"150000 Km /
5 Year(s)",1500 CC - Turbo,190,,11,7 Speeds,DSG,Year 2022,95,6.6,China,China,4835,1900,1780,,2815,257,7,Front Traction,3,60,300,"16,500 EGP","6,600 EGP"
Jac JS3 2022 A/T / Smart,"150000 Km /
6 Year(s)",1600 CC,118,180,,,CVT,Year 2022,92,6.5,China,China,4345,1765,1640,200,2560,600,5,Front Traction,4,45,150,"11,998 EGP","4,799 EGP"
Jac JS4 2022 A/T / Deluxe,"150000 Km /
6 Year(s)",1500 CC - Turbo,147,170,,,CVT,Year 2022,92,,China,China,4410,1800,1660,200,2620,520,5,Front Traction,4,50,210,"13,698 EGP","5,479 EGP"
Jac JS4 2022 A/T / Utlimate,"150000 Km /
6 Year(s)",1500 CC - Turbo,147,170,,,CVT,Year 2022,92,,China,China,4410,1800,1660,200,2620,520,5,Front Traction,4,50,210,"14,698 EGP","5,879 EGP"
Jac J7 2022 A/T / Deluxe,"150000 Km /
6 Year(s)",1500 CC - Turbo,150,,,,CVT,Year 2022,95,,China,China,4772,1820,1492,,2760,,5,Front Traction,4,55,210,"13,748 EGP","5,499 EGP"
Jac J7 2022 A/T / Ultimate,"150000 Km /
6 Year(s)",1500 CC - Turbo,150,,,,CVT,Year 2022,95,,China,China,4772,1820,1492,,2760,,5,Front Traction,4,55,210,"14,498 EGP","5,799 EGP"
Dongfeng Aeolus A30 2023 A/T,"150000 Km /
5 Year(s)",1500 CC  - Turbo,150,190,10,6 Speeds,DSG,Year 2023,92,6.4,,China,4660,1812,1490,,2680,454,5,Front Traction,4,50,230,"13,300 EGP","5,320 EGP"
Dongfeng Venucia Star 2022 A/T / Top Line,,1500 CC - Turbo,190,190,9.9,7 Speeds,DSG,Year 2022,95,6.1,,China,4691,1905,1706,,2756,,5,Front Traction,4,60,260,"16,125 EGP","6,450 EGP"
Dongfeng Venucia Star 2022 A/T / 2 colors,,1500 CC - Turbo,190,190,9.9,7 Speeds,DSG,Year 2022,95,6.1,,China,4691,1905,1706,,2756,,5,Front Traction,4,60,260,"16,875 EGP","6,750 EGP"
Opel Astra 2021 Automatic / High line,"150000 Km /
5 Year(s)",1400 CC - Turbo,140,207,10.2,6 Speeds,automatic,Year 2021,92,6.4,Germany,Poland,4658,1814,1500,151,2685,460,5,Front Traction,4,56,200,"8,000 EGP","3,200 EGP"
Opel Corsa 2023 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,207,8.7,6 Speeds,automatic,Year 2023,95,4.6,Germany,,4060,1960,1433,,2538,309,5,Front Traction,3,44,230,"13,000 EGP","5,200 EGP"
Opel Corsa 2023 A/T / Top line Plus,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,207,8.7,6 Speeds,automatic,Year 2023,95,4.6,Germany,,4060,1960,1433,,2538,309,5,Front Traction,3,44,230,"13,750 EGP","5,500 EGP"
Opel Corsa 2022 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,207,8.7,6 Speeds,automatic,Year 2022,95,4.6,Germany,Poland,4060,1960,1433,,2538,309,5,Front Traction,3,44,230,"10,875 EGP","4,350 EGP"
Opel Corsa 2022 A/T / Top line Plus,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,207,8.7,6 Speeds,automatic,Year 2022,95,4.6,Germany,Poland,4060,1960,1433,,2538,309,5,Front Traction,3,44,230,"11,375 EGP","4,550 EGP"
Opel Crossland 2023 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,110,187,11.8,6 Speeds,automatic,Year 2023,92,5.4,Germany,,4217,1765,1605,180,2604,410,5,Front Traction,3,45,205,"13,750 EGP","5,500 EGP"
Opel Crossland 2023 A/T / Top Line,"150000 Km /
5 Year(s)",1200 CC - Turbo,110,187,11.8,6 Speeds,automatic,Year 2023,92,5.4,Germany,,4217,1765,1605,180,2604,410,5,Front Traction,3,45,205,"14,500 EGP","5,800 EGP"
Opel Crossland 2022 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,110,187,11.8,6 Speeds,automatic,Year 2022,92,5.4,Germany,Germany,4217,1765,1605,180,2604,410,5,Front Traction,3 ,45,205,"11,250 EGP","4,500 EGP"
Opel Crossland 2022 A/T / Top Line,"150000 Km /
5 Year(s)",1200 CC - Turbo,110,187,11.8,6 Speeds,automatic,Year 2022,92,5.4,Germany,Germany,4217,1765,1605,180,2604,410,5,Front Traction,3,45,205,"12,000 EGP","4,800 EGP"
Opel Corsa 2023 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,207,8.7,6 Speeds,automatic,Year 2023,95,4.6,Germany,,4060,1960,1433,,2538,309,5,Front Traction ,3,44,230,"13,000 EGP","5,200 EGP"
Opel Corsa 2023 A/T / Top line Plus,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,207,8.7,6 Speeds,automatic,Year 2023,95,4.6,Germany,,4060,1960,1433,,2538,309,5,Front Traction,3,44,230,"13,750 EGP","5,500 EGP"
Opel Corsa 2022 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,207,8.7,6 Speeds,automatic,Year 2022,95,4.6,Germany,Poland,4060,1960,1433,,2538,309,5,Front Traction,3,44,230,"10,875 EGP","4,350 EGP"
Opel Corsa 2022 A/T / Top line Plus,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,207,8.7,6 Speeds,automatic,Year 2022,95,4.6,Germany,Poland,4060,1960,1433,,2538,309,5,Front Traction,3,44,230,"11,375 EGP","4,550 EGP"
Opel Mokka 2023 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,200,9.2,8 Speeds,automatic,Year 2023,92,5.9,Germany,,4151,1791,1534,,2557,350,,Front Traction,,45,230,"16,250 EGP","6,500 EGP"
Opel Mokka 2023 A/T / GS Line,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,200,9.2,8 Speeds,automatic,Year 2023,92,5.9,Germany,,4151,1791,1534,,2557,350,,Front Traction,,45,230,"17,250 EGP","6,900 EGP"
Opel Mokka 2022 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,200,9.2,8 Speeds,automatic,Year 2022,92,5.9,Germany,,4151,1791,1534,,2557,350,,Front Traction,,45,230,"13,500 EGP","5,400 EGP"
Opel Mokka 2022 A/T / GS Line,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,200,9.2,8 Speeds,automatic,Year 2022,92,5.9,Germany,,4151,1791,1534,,2557,350,,Front Traction,,45,230,"14,500 EGP","5,800 EGP"
Opel Crossland 2023 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,110,187,11.8,6 Speeds,automatic,Year 2023,92,5.4,Germany,,4217,1765,1605,180,2604,410,5,Front Traction,3,45,205,"13,750 EGP","5,500 EGP"
Opel Crossland 2023 A/T / Top Line,"150000 Km /
5 Year(s)",1200 CC - Turbo,110,187,11.8,6 Speeds,automatic,Year 2023,92,5.4,Germany,,4217,1765,1605,180,2604,410,5,Front Traction,3,45,205,"14,500 EGP","5,800 EGP"
Opel Crossland 2022 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,110,187,11.8,6 Speeds,automatic,Year 2022,92,5.4,Germany,Germany,4217,1765,1605,180,2604,410,5,Front Traction,3,45,205,"11,250 EGP","4,500 EGP"
Opel Crossland 2022 A/T / Top Line,"150000 Km /
5 Year(s)",1200 CC - Turbo,110,187,11.8,6 Speeds,automatic,Year 2022,92,5.4,Germany,Germany,4217,1765,1605,180,2604,410,5,Front Traction,3,45,205,"12,000 EGP","4,800 EGP"
Opel Grandland 2022 A/T / high line,"150000 Km /
5 Year(s)",1600 CC - Turbo,163,201,9.4,6 Speeds,automatic,Year 2022,92,7,Germany,Germany,4477,1856,1609,200,2675,514,5,Front Traction,4,53,240,"14,250 EGP","5,700 EGP"
Opel Grandland 2022 A/T / top line,"150000 Km /
5 Year(s)",1600 CC - Turbo,163,201,9.4,6 Speeds,automatic,Year 2022,92,7,Germany,Germany,4477,1856,1609,200,2675,514,5,Front Traction,4,53,240,"15,000 EGP","6,000 EGP"
Opel Mokka 2023 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,200,9.2,8 Speeds,automatic,Year 2023,92,5.9,Germany,,4151,1791,1534,,2557,350,,Front Traction,,45,230,"16,250 EGP","6,500 EGP"
Opel Mokka 2023 A/T / GS Line,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,200,9.2,8 Speeds,automatic,Year 2023,92,5.9,Germany,,4151,1791,1534,,2557,350,,Front Traction,,45,230,"17,250 EGP","6,900 EGP"
Opel Mokka 2022 A/T / Elegance,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,200,9.2,8 Speeds,automatic,Year 2022,92,5.9,Germany,,4151,1791,1534,,2557,350,,Front Traction,,45,230,"13,500 EGP","5,400 EGP"
Opel Mokka 2022 A/T / GS Line,"150000 Km /
5 Year(s)",1200 CC - Turbo,130,200,9.2,8 Speeds,automatic,Year 2022,92,5.9,Germany,,4151,1791,1534,,2557,350,,Front Traction,,45,230,"14,500 EGP","5,800 EGP"
Honda City 2022 A/T / LX,"125000 Km /
5 Year(s)",1500 CC,121,,,,CVT,Year 2022,92,,Japan,India,4553,1748,1467,,2600,506,,Front Traction,4,40,145,"13,500 EGP","5,400 EGP"
Honda City 2022 A/T / LX / Sport,"125000 Km /
5 Year(s)",1500 CC,121,,,,CVT,Year 2022,92,,Japan,India,4553,1748,1467,,2600,506,,Front Traction,4,40,145,"14,000 EGP","5,600 EGP"
Honda City 2021 A/T / LX,"125000 Km /
5 Year(s)",1500 CC,121,,,,CVT,Year 2021,92,,Japan,India,4553,1748,1467,,2600,506,,Front Traction,4,40,145,"8,625 EGP","3,450 EGP"
Honda City 2021 A/T / LX-S,"125000 Km /
5 Year(s)",1500 CC,121,,,,CVT,Year 2021,92,,Japan,India,4553,1748,1467,,2600,506,,Front Traction,4,40,145,"9,125 EGP","3,650 EGP"
Honda Civic 2021 A/T / LXI,"125000 Km /
5 Year(s)",1600 CC,123,200,11.6,,CVT,Year 2021,92,5.4,Japan,Turkey,4630,1799,1432,153,2700,428,5,Front Traction,4,47,151,"11,475 EGP","4,590 EGP"
Honda City 2022 A/T / LX,"125000 Km /
5 Year(s)",1500 CC,121,,,,CVT,Year 2022,92,,Japan,India,4553,1748,1467,,2600,506,,Front Traction,4,40,145,"13,500 EGP","5,400 EGP"
Honda City 2022 A/T / LX / Sport,"125000 Km /
5 Year(s)",1500 CC,121,,,,CVT,Year 2022,92,,Japan,India,4553,1748,1467,,2600,506,,Front Traction,4,40,145,"14,000 EGP","5,600 EGP"
Honda City 2021 A/T / LX,"125000 Km /
5 Year(s)",1500 CC,121,,,,CVT,Year 2021,92,,Japan,India,4553,1748,1467,,2600,506,,Front Traction,4,40,145,"8,625 EGP","3,450 EGP"
Honda City 2021 A/T / LX-S,"125000 Km /
5 Year(s)",1500 CC,121,,,,CVT,Year 2021,92,,Japan,India,4553,1748,1467,,2600,506,,Front Traction,4,40,145,"9,125 EGP","3,650 EGP"
Honda CRV 2022 A/T / LX,"125000 Km /
5 Year(s)",1500 CC - Turbo,188,201,10.1,6 Speeds,CVT,Year 2022,92,7.5,Japan,USA,4571,1855,1689,209,2660,561,5,Front Traction,4,57,240,"27,750 EGP","11,100 EGP"
Honda CRV 2022 A/T / EX,"125000 Km /
5 Year(s)",1500 CC - Turbo,188,201,10.1,6 Speeds,CVT,Year 2022,92,7.5,Japan,USA,4571,1855,1689,209,2660,561,5,Four-wheel Drive,4,57,240,"31,500 EGP","12,600 EGP"
Honda CRV 2021 A/T / LX,"125000 Km /
5 Year(s)",1500 CC - Turbo,188,201,10.1,6 Speeds,CVT,Year 2021,92,7.5,Japan,USA,4571,1855,1689,209,2660,561,5,Front Traction,4,57,240,"16,225 EGP","6,490 EGP"
Honda CRV 2021 A/T / EX,"125000 Km /
5 Year(s)",1500 CC - Turbo,188,201,10.1,6 Speeds,CVT,Year 2021,92,7.5,Japan,USA,4571,1855,1689,209,2660,561,5,Four-wheel Drive,4,57,240,"19,075 EGP","7,630 EGP"
Honda Accord 2022 A/T / EXL,"125000 Km /
5 Year(s)",1500 CC - Turbo,187,205,7.5,,CVT,Year 2022,95,7.5,Japan,USA,4889,1862,1460,150,2830,473,5,Front Traction,4,56,260,"24,000 EGP","9,600 EGP"
Honda Accord 2022 A/T / Premium,"125000 Km /
5 Year(s)",1500 CC - Turbo,187,205,7.5,,CVT,Year 2022,95,7.5,Japan,USA,4889,1862,1460,150,2830,473,5,Front Traction,4,56,260,"27,750 EGP","11,100 EGP"
Honda Accord 2021 A/T / EXL,"125000 Km /
5 Year(s)",1500 CC - Turbo,187,205,7.5,,CVT,Year 2021,95,7.5,Japan,USA,4889,1862,1460,150,2830,473,5,Front Traction,4,56,260,"16,975 EGP","6,790 EGP"
Honda CRV 2022 A/T / LX,"125000 Km /
5 Year(s)",1500 CC - Turbo,188,201,10.1,6 Speeds,CVT,Year 2022,92,7.5,Japan,USA,4571,1855,1689,209,2660,561,5,Front Traction,4,57,240,"27,750 EGP","11,100 EGP"
Honda CRV 2022 A/T / EX,"125000 Km /
5 Year(s)",1500 CC - Turbo,188,201,10.1,6 Speeds,CVT,Year 2022,92,7.5,Japan,USA,4571,1855,1689,209,2660,561,5,Four-wheel Drive,4,57,240,"31,500 EGP","12,600 EGP"
Honda CRV 2021 A/T / LX,"125000 Km /
5 Year(s)",1500 CC - Turbo,188,201,10.1,6 Speeds,CVT,Year 2021,92,7.5,Japan,USA,4571,1855,1689,209,2660,561,5,Front Traction,4,57,240,"16,225 EGP","6,490 EGP"
Honda CRV 2021 A/T / EX,"125000 Km /
5 Year(s)",1500 CC - Turbo,188,201,10.1,6 Speeds,CVT,Year 2021,92,7.5,Japan,USA,4571,1855,1689,209,2660,561,5,Four-wheel Drive,4,57,240,"19,075 EGP","7,630 EGP"
Mini Cooper 2020 A/T / 3 Door Salt,"200000 Km /
4 Year(s)",1500 CC,136,210,8,6 Speeds,automatic,Year 2020,95,5,Germany,UK,3821,1727,1414,150,2495,211,4,Front Traction,3,40,220,"12,375 EGP","4,950 EGP"
Mini Cooper 2020 A/T / 3 Door Chili,"200000 Km /
4 Year(s)",1500 CC,136,210,8,6 Speeds,automatic,Year 2020,95,5,Germany,UK,3821,1727,1414,150,2495,211,4,Front Traction,3,40,220,"16,000 EGP","6,400 EGP"
Mini Cooper Hatch 2020 A/T / 5 Door,"200000 Km /
4 Year(s)",1500 CC,135,207,8.1,6 Speeds,automatic,Year 2020,95,5,Germany,UK,3982,1727,1425,150,2567,278,4,Front Traction,3,40,220,"14,875 EGP","5,950 EGP"
Mini Clubman 2020 A/T / Chili Edition,"200000 Km /
4 Year(s)",1500 CC,136,205,10.1,6 Speeds,automatic,Year 2020,95,5.1,Germany,UK,4253,1800,1441,150,2670,360,5,Front Traction,3,48,220,"15,625 EGP","6,250 EGP"
Mini Convertible 2020 A/T / Cabrio,"200000 Km /
4 Year(s)",1500 CC,136,206,7.3,6 Speeds,automatic,Year 2020,92,5.3,Germany,UK,3821,1727,1414,135,2495,215,4,Front Traction,3,40,220,"16,875 EGP","6,750 EGP"
Mini Mini Cooper S 2020 A/T,"200000 Km /
4 Year(s)",2000 CC,192,235,6.8,6 Speeds,automatic,Year 2020,95,6,Germany,,3821,1727,1414,150,2495,211,4,Front Traction,4,40,280,"17,450 EGP","10,470 EGP"
Mini Countryman S 2020 A/T / S /Chili Edition,"200000 Km /
4 Year(s)",2000 CC,192,225,7.1,6 Speeds,automatic,Year 2020,95,6,Germany,UK,4299,1821,1557,170,2670,450,5,Front Traction,4,51,280,"19,000 EGP","11,400 EGP"
DFSK 330S 2022 M/T Highline,"50000 Km /
2 Year(s)",1500 CC,115,,,5 Speeds,manual,Year 2022,92,,,China,4365,1720,1790,170,2725,,8,Front Traction,4,,,"9,248 EGP","3,699 EGP"
DFSK 330S 2022 M/T/ Highline / gas,"50000 Km /
2 Year(s)",1500 CC,115,,,5 Speeds,manual,Year 2022,92,,,China,4365,1720,1790,170,2725,,8,Front Traction,4,,,"9,548 EGP","3,819 EGP"
DFSK 330S 2022 M/T / TOPLINE,"50000 Km /
2 Year(s)",1500 CC,115,,,5 Speeds,manual,Year 2022,92,,,China,4365,1720,1705,170,2725,,8,Front Traction,4,,,"9,748 EGP","3,899 EGP"
DFSK 330S 2022 M/T / TOPLINE / gas,"50000 Km /
2 Year(s)",1500 CC,115,,,5 Speeds,manual,Year 2022,92,,,China,4365,1720,1705,170,2725,,8,Front Traction,4,,,"10,048 EGP","4,019 EGP"
DFSK EAGLE 580 2022 A/T / Luxury,"150000 Km /
7 Year(s)",1500 CC - Turbo,165,180,11.8,,CVT,Year 2022,95,7.2,,China,4680,1845,1715,170,2780,,7,Front Traction,4,58,220,"11,623 EGP","4,649 EGP"
DFSK Eagle pro 2022 Automtic / red interior,,1500 CC - Turbo,165,180,11.8,,CVT,Year 2022,95,7.2,,China,4680,1845,1715,170,2780,,7,Front Traction,4,58,220,"16,748 EGP","6,699 EGP"
DFSK Eagle pro 2022 Automtic / Black interior,,1500 CC - Turbo,165,180,11.8,,CVT,Year 2022,95,7.2,,China,4680,1845,1715,170,2780,,7,Front Traction,4,58,220,"16,873 EGP","6,749 EGP"
Audi A3 2022 A/T / Advanced,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,180,8.4,8 Speeds,automatic,Year 2022,95,4.9,Germany,Hungary,4495,1816,1425,,2636,425,5,Front Traction ,4,50,250,"24,750 EGP","9,900 EGP"
Audi A3 2022 A/T / S-Line,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,180,8.4,8 Speeds,automatic,Year 2022,95,4.9,Germany,Hungary,4495,1816,1425,,2636,425,5,Front Traction ,4,50,250,"27,500 EGP","11,000 EGP"
Audi A3 2022 A/T / Sport back,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,180,8.4,8 Speeds,automatic,Year 2022,95,4.9,Germany,Hungary,4495,1816,1425,,2636,425,5,Front Traction,4,50,250,"27,500 EGP","11,000 EGP"
Audi A3 2020 A/T / Premium,"100000 Km /
3 Year(s)",1000 CC,115,211,9.9,7 Speeds,automatic,Year 2020,95,4.4,Germany,Hungary,4458,1796,1416,154,2637,425,5,Front Traction,4,50,200,"11,875 EGP","1,188 EGP"
Audi A3 2020 A/T / Prestige,"100000 Km /
3 Year(s)",1000 CC,115,211,9.9,7 Speeds,automatic,Year 2020,95,4.4,Germany,Hungary,4458,1796,1416,154,2637,425,5,Front Traction,4,50,200,"13,875 EGP","1,388 EGP"
Audi Q2 2022 A/T / Basis,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,218,10.3,7 Speeds,automatic,Year 2022,95,5.1,Germany,Germany,4191,1794,1508,,2595,405,5,Front Traction,4,50,200,"22,000 EGP","8,800 EGP"
Audi Q2 2022 A/T / S Line,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,218,10.3,7 Speeds,automatic,Year 2022,95,5.1,Germany,Germany,4191,1794,1508,,2595,405,5,Front Traction ,4,50,200,"27,250 EGP","10,900 EGP"
Audi A3 2022 A/T / Advanced,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,180,8.4,8 Speeds,automatic,Year 2022,95,4.9,Germany,Hungary,4495,1816,1425,,2636,425,5,Front Traction ,4,50,250,"24,750 EGP","9,900 EGP"
Audi A3 2022 A/T / S-Line,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,180,8.4,8 Speeds,automatic,Year 2022,95,4.9,Germany,Hungary,4495,1816,1425,,2636,425,5,Front Traction ,4,50,250,"27,500 EGP","11,000 EGP"
Audi A3 2022 A/T / Sport back,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,180,8.4,8 Speeds,automatic,Year 2022,95,4.9,Germany,Hungary,4495,1816,1425,,2636,425,5,Front Traction,4,50,250,"27,500 EGP","11,000 EGP"
Audi A3 2020 A/T / Premium,"100000 Km /
3 Year(s)",1000 CC,115,211,9.9,7 Speeds,automatic,Year 2020,95,4.4,Germany,Hungary,4458,1796,1416,154,2637,425,5,Front Traction,4,50,200,"11,875 EGP","1,188 EGP"
Audi A3 2020 A/T / Prestige,"100000 Km /
3 Year(s)",1000 CC,115,211,9.9,7 Speeds,automatic,Year 2020,95,4.4,Germany,Hungary,4458,1796,1416,154,2637,425,5,Front Traction,4,50,200,"13,875 EGP","1,388 EGP"
Audi Q3 2022 A/T / Advanced,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,207,9.2,6 Speeds,automatic,Year 2022,95,5.9,Germany,Germany,4484,1856,1616,170,2680,530,5,Front Traction,4,54,250,"28,750 EGP","11,500 EGP"
Audi Q3 2022 A/T / S-Line,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,207,9.2,6 Speeds,automatic,Year 2022,95,5.9,Germany,Germany,4484,1856,1616,170,2680,530,5,Front Traction,4,54,250,"32,500 EGP","13,000 EGP"
Audi Q3 2022 A/T / SB W New-Rim,"100000 Km /
3 Year(s)",1400 CC - Turbo,150,207,9.2,6 Speeds,automatic,Year 2022,95,5.9,Germany,Germany,4484,1856,1616,170,2680,530,5,Front Traction,4,54,250,"36,250 EGP","14,500 EGP"
Audi Q3 2022 A/T / Sport back,"100000 Km /
3 Year(s)",2000 CC - Turbo,190,214,7.4,8 Speeds,automatic,Year 2022,95,7.5,Germany,Germany,4484,1856,1585,170,,530,5,Four-wheel Drive,4,75,320,"42,500 EGP","25,500 EGP"
Audi A4 2022 A/T / Smart,"100000 Km /
3 Year(s)",2000 CC,190,210,8.6,7 Speeds,automatic,Year 2022,92,6.5,Germany,Germany,4672,1847,1428,135,,450,5,Four-wheel Drive,4,75,270,"33,750 EGP","20,250 EGP"
Audi A4 2022 A/T / S Line Plus,"100000 Km /
3 Year(s)",2000 CC,190,210,8.6,7 Speeds,automatic,Year 2022,92,6.5,Germany,Germany,4672,1847,1428,135,,450,5,Front Traction,4,75,270,"38,750 EGP","23,250 EGP"
Audi A5 2022 A/T / S-Line,"100000 Km /
3 Year(s)",2000 CC - Turbo,190,220,6,7 Speeds,automatic,Year 2022,95,6.5,Germany,Germany,4757,1843,1386,135,2824,460,5,Four-wheel Drive,4,75,370,"42,500 EGP","25,500 EGP"
Audi Q7 2022 A/T / Premium,"100000 Km /
3 Year(s)",2000 CC - Turbo,252,233,6.9,8 Speeds,automatic,Year 2022,92,7.3,Germany,Germany,5052,1968,1741,210,2994,890,7,Four-wheel Drive,4,75,370,"47,500 EGP","28,500 EGP"
Audi Q7 2022 A/T / S Line,"100000 Km /
3 Year(s)",2000 CC - Turbo,252,233,6.9,8 Speeds,automatic,Year 2022,92,7.3,Germany,Germany,5052,1968,1741,210,2994,890,7,Four-wheel Drive,4,75,370,"63,750 EGP","38,250 EGP"
Audi Q7 2022 A/T / TFSI,"100000 Km /
3 Year(s)",3000 CC - Turbo,340,,5.9,8 Speeds,automatic,Year 2022,92,8.9,Germany,Germany,5063,1970,1741,210,,650,7,Four-wheel Drive,6,85,500,"80,000 EGP","80,000 EGP"
Audi A6 2022 A/T / S Line,"100000 Km /
3 Year(s)",2000 CC,190,,8.1,7 Speeds,automatic,Year 2022,95,6.5,Germany,Germany,4939,1886,1457,,2924,530,5,Front Traction,4,73,320,"53,750 EGP","32,250 EGP"
Audi Q8 2022 A/T / S Line,"100000 Km /
3 Year(s)",3000 CC - Turbo,340,250,5.9,8 Speeds,automatic,Year 2022,95,8.9,Germany,Germany,4986,1995,1705,205,2995,605,5,Front Traction,6,85,500,"82,500 EGP","82,500 EGP"
Audi Q8 2022 A/T / S Line Plus,"100000 Km /
3 Year(s)",3000 CC - Turbo,340,250,5.9,8 Speeds,automatic,Year 2022,95,8.9,Germany,Germany,4986,1995,1705,205,2995,605,5,Front Traction,6,85,500,"83,750 EGP","83,750 EGP"
Audi Q8 2022 A/T / Sport / RS,"100000 Km /
3 Year(s)",4000 CC - Turbo,340,250,5.9,8 Speeds,automatic,Year 2022,95,8.9,Germany,Germany,4986,1995,1705,205,2995,605,5,Front Traction,6,85,500,"145,000 EGP","145,000 EGP"
Skoda Scala 2022 A/T / Ambition,"100000 Km /
5 Year(s)",1600 CC,110,188,11.8,6 Speeds,automatic,Year 2022,92,6.2,Czech,Czech,,,,149,,467,5,Front Traction,4,,155,"11,625 EGP","4,650 EGP"
Skoda Scala 2022 A/T / Style,"100000 Km /
5 Year(s)",1600 CC,110,188,11.8,6 Speeds,automatic,Year 2022,92,6.2,Czech,Czech,,,,149,,467,5,Front Traction,4,,155,"13,750 EGP","5,500 EGP"
Skoda Kamiq 2022 A/T / Ambition,"100000 Km /
5 Year(s)",1600 CC,110,183,11.9,6 Speeds,automatic,Year 2022,92,6.3,Czech,Germany,4241,1793,1511,185,2651,400,5,Front Traction,4,50,155,"12,875 EGP","5,150 EGP"
Skoda Kamiq 2022 A/T / Style,"100000 Km /
5 Year(s)",1600 CC,110,183,11.9,6 Speeds,automatic,Year 2022,92,6.3,Czech,Germany,4241,1793,1511,185,2651,400,5,Front Traction,4,50,155,"15,000 EGP","6,000 EGP"
Skoda Octavia A8 2022 A/T / Ambition,"100000 Km /
5 Year(s)",1400 CC - Turbo,150,223,9,8 Speeds,automatic,Year 2022,95,5.5,Czech,Czech,4689,1829,1470,143,2686,600,5,Front Traction,4,45,250,"17,750 EGP","7,100 EGP"
Skoda Octavia A8 2022 A/T / Style,"100000 Km /
5 Year(s)",1400 CC - Turbo,150,223,9,8 Speeds,automatic,Year 2022,95,5.5,Czech,Czech,4689,1829,1470,143,2686,600,5,Front Traction,4,45,250,"20,000 EGP","8,000 EGP"
Skoda Octavia A8 2022 A/T / Style Plus,"100000 Km /
5 Year(s)",1400 CC - Turbo,150,223,9,8 Speeds,automatic,Year 2022,95,5.5,Czech,Czech,4689,1829,1470,143,2686,600,5,Front Traction,4,45,250,"21,250 EGP","8,500 EGP"
Skoda Octavia A8 2022 Automtic / RS,"100000 Km /
5 Year(s)",2000 CC - Turbo,245,218,6.7,7 Speeds,DSG,Year 2022,95,6.6,Czech,Czech,4689,1829,1470,128,2686,600,4,Front Traction,4,45,370,"30,000 EGP","18,000 EGP"
Skoda Superb 2022 A/T / Dynamic,"100000 Km /
5 Year(s)",1400 CC - Turbo,150,220,8.8,7 Speeds,DSG,Year 2022,95,5.7,Czech,Czech,4861,1864,1468,160,2841,625,5,Front Traction,4,66,250,"20,625 EGP","8,250 EGP"
